date,confirmed_cases_per_day,active_cases_per_day,cured_per_day,deaths_per_day,hospital_beds_per_thousand,cases_per_million,deaths_per_million,actives_per_million
2020-12-03,74,71.0,3.0,0.0,0.53,0.05362301801671449,0.0,0.05144911188090174
2020-03-13,1,0.0,0.0,1.0,0.53,0.0007246353786042499,0.0007246353786042499,0.0
2020-03-14,9,1.0,7.0,1.0,0.53,0.006521718407438249,0.0007246353786042499,0.0007246353786042499
2020-03-15,23,23.0,0.0,0.0,0.53,0.016666613707897748,0.0,0.016666613707897748
2020-03-16,7,4.0,3.0,0.0,0.53,0.005072447650229749,0.0,0.0028985415144169996
2020-03-17,23,21.0,1.0,1.0,0.53,0.016666613707897748,0.0007246353786042499,0.015217342950689248
2020-03-18,9,9.0,0.0,0.0,0.53,0.006521718407438249,0.0,0.006521718407438249
2020-03-19,20,19.0,1.0,0.0,0.53,0.014492707572084998,0.0,0.013768072193480748
2020-03-20,29,23.0,5.0,1.0,0.53,0.021014425979523247,0.0007246353786042499,0.016666613707897748
2020-03-21,63,60.0,3.0,0.0,0.53,0.04565202885206774,0.0,0.043478122716254994
2020-03-22,102,98.0,1.0,3.0,0.53,0.07391280861763348,0.0021739061358127497,0.07101426710321648
2020-03-23,73,73.0,0.0,0.0,0.53,0.05289838263811024,0.0,0.05289838263811024
2020-03-24,59,44.0,13.0,2.0,0.53,0.04275348733765074,0.0014492707572084998,0.031883956658586995
2020-03-25,27,23.0,3.0,1.0,0.53,0.019565155222314747,0.0007246353786042499,0.016666613707897748
2020-03-26,130,124.0,3.0,3.0,0.53,0.09420259921855248,0.0021739061358127497,0.08985478694692699
2020-03-27,75,47.0,24.0,4.0,0.53,0.05434765339531874,0.0028985415144169996,0.03405786279439974
2020-03-28,185,170.0,13.0,2.0,0.53,0.1340575450417862,0.0014492707572084998,0.12318801436272248
2020-03-29,70,57.0,7.0,6.0,0.53,0.05072447650229749,0.004347812271625499,0.04130421658044224
2020-03-30,92,75.0,13.0,4.0,0.53,0.06666645483159099,0.0028985415144169996,0.05434765339531874
2020-03-31,326,296.0,24.0,6.0,0.53,0.23623113342498545,0.004347812271625499,0.21449207206685797
2020-01-04,240,228.0,9.0,3.0,0.53,0.17391249086501998,0.0021739061358127497,0.16521686632176896
2020-02-04,328,298.0,18.0,12.0,0.53,0.23768040418219397,0.008695624543250999,0.21594134282406646
2020-03-04,336,324.0,6.0,6.0,0.53,0.24347748721102797,0.004347812271625499,0.23478186266777695
2020-04-04,601,562.0,27.0,12.0,0.53,0.4355058625411542,0.008695624543250999,0.4072450827755884
2020-05-04,472,380.0,83.0,9.0,0.53,0.3420278987012059,0.006521718407438249,0.275361443869615
2020-06-04,693,636.0,25.0,32.0,0.53,0.5021723173727451,0.023188332115335997,0.4608681007923029
2020-07-04,354,315.0,34.0,5.0,0.53,0.25652092402590443,0.0036231768930212495,0.22826014426033872
2020-08-04,773,662.0,76.0,35.0,0.53,0.5601431476610852,0.025362238251148746,0.47970862063601344
2020-09-04,540,452.0,71.0,17.0,0.53,0.3913031044462949,0.012318801436272248,0.32753519112912094
2020-10-04,678,614.0,31.0,33.0,0.53,0.49130278669368144,0.023912967493940247,0.44492612246300944
2020-11-04,1035,856.0,139.0,40.0,0.53,0.7499976168553986,0.028985415144169996,0.6202878840852379
2020-12-04,909,802.0,73.0,34.0,0.53,0.6586935591512632,0.024637602872544496,0.5811575736406084
2020-04-13,796,620.0,141.0,35.0,0.53,0.5768097613689829,0.025362238251148746,0.4492739347346349
2020-04-14,1211,1001.0,179.0,31.0,0.53,0.8775334434897466,0.022463696736731747,0.7253600139828541
2020-04-15,1076,768.0,270.0,38.0,0.53,0.7797076673781729,0.027536144386961496,0.5565199707680639
2020-04-16,941,721.0,183.0,37.0,0.53,0.6818818912665991,0.026811509008357246,0.5224621079736641
2020-04-17,1007,724.0,260.0,23.0,0.53,0.7297078262544796,0.016666613707897748,0.5246360141094769
2020-04-18,991,705.0,243.0,43.0,0.53,0.7181136601968117,0.031159321279982746,0.5108679419159962
2020-04-19,1334,1068.0,239.0,27.0,0.53,0.9666635950580693,0.019565155222314747,0.7739105843493389
2020-04-20,1553,1201.0,316.0,36.0,0.53,1.1253587429724001,0.026086873629752996,0.870287089703704
2020-04-21,1336,584.0,705.0,47.0,0.53,0.9681128658152778,0.03405786279439974,0.4231870611048819
2020-04-22,1383,715.0,618.0,50.0,0.53,1.0021707286096775,0.036231768930212495,0.5181142957020387
2020-04-23,1409,980.0,388.0,41.0,0.53,1.021011248453388,0.029710050522774246,0.7101426710321649
2020-04-24,1684,1156.0,491.0,37.0,0.53,1.2202859775695567,0.026811509008357246,0.8376784976665128
2020-04-25,1429,1058.0,314.0,57.0,0.53,1.035503956025473,0.04130421658044224,0.7666642305632964
2020-04-26,1990,1200.0,741.0,49.0,0.53,1.4420244034224572,0.03550713355160824,0.8695624543250998
2020-04-27,1396,967.0,381.0,48.0,0.53,1.0115909885315328,0.034782498173003995,0.7007224111103096
2020-04-28,1543,797.0,684.0,62.0,0.53,1.1181123891863576,0.044927393473463494,0.5775343967475871
2020-04-29,1897,997.0,827.0,73.0,0.53,1.374633313212262,0.05289838263811024,0.7224614724684372
2020-04-30,1718,1022.0,629.0,67.0,0.53,1.2449235804421013,0.04855057036648474,0.7405773569335433
2020-01-05,1993,1356.0,564.0,73.0,0.53,1.44419830955827,0.05289838263811024,0.9826055733873629
2020-02-05,2293,1160.0,1062.0,71.0,0.53,1.6615889231395449,0.05144911188090174,0.8405770391809299
2020-03-05,2644,1879.0,682.0,83.0,0.53,1.9159359410296366,0.06014473642415274,1.3615898763973855
2020-04-05,2553,1407.0,1074.0,72.0,0.53,1.84999412157665,0.05217374725950599,1.0195619776961795
2020-05-05,3900,2685.0,1020.0,195.0,0.53,2.8260779765565744,0.14130389882782873,1.945645991552411
2020-06-05,2957,1375.0,1456.0,126.0,0.53,2.142746814532767,0.09130405770413548,0.9963736455808436
2020-07-05,3561,2388.0,1084.0,89.0,0.53,2.580426583209734,0.06449254869577824,1.7304292841069486
2020-08-05,3390,2014.0,1273.0,103.0,0.53,2.456513933468407,0.07463744399623774,1.4594156525089592
2020-09-05,3321,1919.0,1307.0,95.0,0.53,2.4065140923447137,0.06884036096740374,1.3905752915415555
2020-10-05,3277,1638.0,1511.0,128.0,0.53,2.374630135686127,0.09275332846134399,1.1869527501537613
2020-11-05,4213,2557.0,1559.0,97.0,0.53,3.0528888500597047,0.07028963172461224,1.852892663091067
2020-12-05,3604,1979.0,1538.0,87.0,0.53,2.6115859044897167,0.06304327793856974,1.4340534142578105
2020-05-13,3525,1472.0,1931.0,122.0,0.53,2.5543397095799807,0.08840551618971848,1.0666632773054558
2020-05-14,3722,1739.0,1849.0,134.0,0.53,2.697092879165018,0.09710114073296948,1.2601409233927905
2020-05-15,3967,2182.0,1685.0,100.0,0.53,2.8746285469230592,0.07246353786042499,1.5811543961144732
2020-05-16,3970,1634.0,2233.0,103.0,0.53,2.876802453058872,0.07463744399623774,1.1840542086393442
2020-05-17,4987,911.0,3956.0,120.0,0.53,3.613756633099394,0.08695624543250999,0.6601428299084716
2020-05-18,5242,2370.0,2715.0,157.0,0.53,3.798538654643478,0.11376775444086723,1.7173858472920722
2020-05-19,4970,2486.0,2350.0,134.0,0.53,3.6014378316631217,0.09710114073296948,1.8014435512101652
2020-05-20,5611,2347.0,3124.0,140.0,0.53,4.065929109348446,0.10144895300459499,1.7007192335841745
2020-05-21,5609,2475.0,3002.0,132.0,0.53,4.064479838591238,0.09565186997576099,1.7934725620455185
2020-05-22,6088,2706.0,3234.0,148.0,0.53,4.4115801849426735,0.10724603603342898,1.9608633345031001
2020-05-23,6654,3267.0,3250.0,137.0,0.53,4.821723809232679,0.09927504686878223,2.3673837819000845
2020-05-24,6767,3963.0,2657.0,147.0,0.53,4.903607607014959,0.10652140065482472,2.8717300054086423
2020-05-25,6977,3543.0,3280.0,154.0,0.53,5.055781036521851,0.11159384830505448,2.567383146394857
2020-05-26,6535,3619.0,2770.0,146.0,0.53,4.735492199178773,0.10579676527622048,2.62245543516878
2020-05-27,6387,2282.0,3935.0,170.0,0.53,4.628246163145344,0.12318801436272248,1.6536179339748982
2020-05-28,6566,3106.0,3266.0,194.0,0.53,4.757955895915504,0.14057926344922447,2.2507174859448003
2020-05-29,7466,3877.0,3414.0,175.0,0.53,5.410127736659329,0.12681119125574372,2.8094113628486768
2020-05-30,7964,-3565.0,11264.0,265.0,0.53,5.770996155204246,0.1920283753301262,-2.583325124724151
2020-05-31,8380,3573.0,4614.0,193.0,0.53,6.072444472703614,0.1398546280706202,2.5891222077529847
2020-01-06,8392,3327.0,4835.0,230.0,0.53,6.081140097246865,0.16666613707897748,2.4108619046163393
2020-02-06,8171,4259.0,3708.0,204.0,0.53,5.920995678575325,0.14782561723526697,3.0862220774755
2020-03-06,8909,3916.0,4776.0,217.0,0.53,6.455776587985262,0.1572458771571222,2.8376721426142426
2020-04-06,9304,5240.0,3804.0,260.0,0.53,6.74200756253394,0.18840519843710496,3.797089383886269
2020-05-06,9851,4223.0,5355.0,273.0,0.53,7.138383114630465,0.1978254583589602,3.060135203845747
2020-06-06,9887,4982.0,4611.0,294.0,0.53,7.164469988260218,0.21304280130964945,3.610133456206373
2020-07-06,9971,4464.0,5220.0,287.0,0.53,7.225339360062976,0.2079703536594197,3.2347723300893714
2020-08-06,9983,4975.0,4802.0,206.0,0.53,7.234034984606226,0.14927488799247549,3.605061008556143
2020-09-06,9987,4536.0,5120.0,331.0,0.53,7.236933526120644,0.23985431031800672,3.2869460773488774
2020-10-06,9985,3715.0,5991.0,279.0,0.53,7.235484255363435,0.2021732706305857,2.692020431514788
2020-11-06,9996,3816.0,5823.0,357.0,0.53,7.243455244528081,0.2586948301617172,2.7652086047538176
2020-12-06,10956,4394.0,6166.0,396.0,0.53,7.939105207988161,0.286955609927283,3.184047853587074
2020-06-13,11458,3937.0,7135.0,386.0,0.53,8.302872168047495,0.2797092561412404,2.8528894855649316
2020-06-14,11929,3569.0,8049.0,311.0,0.53,8.644175431370098,0.2253616027459217,2.586223666238568
2020-06-15,11502,3758.0,7419.0,325.0,0.53,8.334756124706082,0.2355064980463812,2.723179752794771
2020-06-16,10667,72.0,10215.0,380.0,0.53,7.729685583571533,0.275361443869615,0.05217374725950599
2020-06-17,10974,2049.0,6922.0,2003.0,0.53,7.952148644803038,1.4514446633443125,1.484777890760108
2020-06-18,12881,5157.0,7390.0,334.0,0.53,9.334028311801342,0.24202821645381944,3.7369446474621166
2020-06-19,13586,2864.0,10386.0,336.0,0.53,9.844896253717339,0.24347748721102797,2.0753557243225718
2020-06-20,14516,5021.0,9120.0,375.0,0.53,10.51880715581929,0.2717382669765937,3.638394235971939
2020-06-21,15413,1182.0,13925.0,306.0,0.53,11.168805090427304,0.22173842585290046,0.8565190175102233
2020-06-22,14821,4936.0,9440.0,445.0,0.53,10.739820946293587,0.3224627434788912,3.5768002287905776
2020-06-23,14933,3627.0,10994.0,312.0,0.53,10.820980108697263,0.22608623812452597,2.6282525181976144
2020-06-24,15968,5008.0,10495.0,465.0,0.53,11.570977725552662,0.3369554510509762,3.628973976050083
2020-06-25,16922,3492.0,13012.0,418.0,0.53,12.262279876741117,0.3028975882565764,2.5304267420860405
2020-06-26,17296,2949.0,13940.0,407.0,0.53,12.533293508339106,0.2949265990919297,2.136949731503933
2020-06-27,18552,7924.0,10244.0,384.0,0.53,13.443435543866043,0.27825998538403196,5.742010740060076
2020-06-28,19906,5664.0,13832.0,410.0,0.53,14.424591846496197,0.29710050522774245,4.104334784414471
2020-06-29,19459,7069.0,12010.0,380.0,0.53,14.100679832260099,0.275361443869615,5.122447491353443
2020-06-30,18522,5005.0,13099.0,418.0,0.53,13.421696482507915,0.3028975882565764,3.6268000699142706
2020-01-07,18653,4989.0,13157.0,507.0,0.53,13.516623717105073,0.3673901369523547,3.6152059038566025
2020-02-07,19148,6833.0,11881.0,434.0,0.53,13.875318229514177,0.3144917543142444,4.95143354200284
2020-03-07,20903,492.0,20032.0,379.0,0.53,15.147053318964636,0.2746368084910107,0.35652060627329096
2020-04-07,22771,7994.0,14335.0,442.0,0.53,16.500672206197375,0.32028883734307845,5.792735216562374
2020-05-07,24850,9381.0,14856.0,613.0,0.53,18.007189158315608,0.44420148708440516,6.797804486686468
2020-06-07,24248,8473.0,15350.0,425.0,0.53,17.57095866039585,0.3079700359068062,6.1398355629138095
2020-07-07,22252,6270.0,15515.0,467.0,0.53,16.12458644470177,0.3384047218081847,4.543463823848647
2020-08-07,22752,5387.0,16883.0,482.0,0.53,16.486904134003893,0.3492742524872484,3.903610784541094
2020-09-07,24879,4845.0,19547.0,487.0,0.53,18.02820358429513,0.3528974293802697,3.5108584093375907
2020-10-07,26506,6896.0,19135.0,475.0,0.53,19.20718534528425,0.3442018048370187,4.997085570854907
2020-11-07,27114,6722.0,19873.0,519.0,0.53,19.647763655475632,0.3760857614956057,4.870999014977768
2020-12-07,28637,8851.0,19235.0,551.0,0.53,20.751383337089905,0.3992740936109417,6.413747736026216
2020-07-13,28701,9351.0,18850.0,500.0,0.53,20.797760001320576,0.36231768930212493,6.7760654253283406
2020-07-14,28498,9956.0,17989.0,553.0,0.53,20.650659019463912,0.4007233643681502,7.214469829383912
2020-07-15,29429,8275.0,20572.0,582.0,0.53,21.32529455694447,0.42173779034767345,5.996357757950167
2020-07-16,32695,11306.0,20783.0,606.0,0.53,23.69195370346595,0.4391290394341754,8.192727590499649
2020-07-17,34956,11327.0,22942.0,687.0,0.53,25.33035429449016,0.49782450510111964,8.207944933450339
2020-07-18,34884,16219.0,17994.0,671.0,0.53,25.27818054723065,0.48623033904345164,11.75286120558233
2020-07-19,38902,14687.0,23672.0,543.0,0.53,28.189765498462528,0.39347701058210766,10.642719805560619
2020-07-20,40425,17080.0,22664.0,681.0,0.53,29.2933851800768,0.49347669282949413,12.376772266560588
2020-07-21,37148,12070.0,24491.0,587.0,0.53,26.918755044390675,0.42536096724069467,8.746349019753296
2020-07-22,37724,8604.0,28472.0,648.0,0.53,27.336145022466724,0.4695637253355539,6.234762797510966
2020-07-23,45720,15034.0,29557.0,1129.0,0.53,33.13032950978631,0.8181133424441981,10.894168281936292
2020-07-24,49310,13968.0,34602.0,740.0,0.53,35.73177051897556,0.5362301801671449,10.121706968344162
2020-07-25,48916,15936.0,32223.0,757.0,0.53,35.44626417980549,0.5485489816034171,11.547789393437325
